retailer,retailer_id,invoice_date,region,state,city,beverage_brand,delivery_company,price_per_unit ($),units_sold,total_sales ($),operating_profit ($),operating_margin (%),year,month,day,weekday,Month_Name
Walmart,1185732,2022-06-12,Northeast,New York,New York,Coca-Cola,UPS,0.6,12500.0,7500.0,3750.0,50.0,2022,6,12,Sunday,June
Walmart,1185732,2022-06-12,Northeast,New York,New York,Diet Coke,USPS,0.55,10000.0,5500.0,1650.0,30.0,2022,6,12,Sunday,June
Walmart,1185732,2022-06-12,Northeast,New York,New York,Sprite,UPS,0.5,9250.0,4625.0,1619.0,35.0,2022,6,12,Sunday,June
Walmart,1185732,2022-06-12,Northeast,New York,New York,Fanta,DHL,0.5,9000.0,4500.0,1575.0,35.0,2022,6,12,Sunday,June
Walmart,1185732,2022-06-12,Northeast,New York,New York,Powerade,FedEx,0.6,9000.0,5400.0,1620.0,30.0,2022,6,12,Sunday,June
Walmart,1185732,2022-06-12,Northeast,New York,New York,Dasani Water,DHL,0.65,10500.0,6825.0,1706.0,25.0,2022,6,12,Sunday,June
Walmart,1185732,2022-07-10,Northeast,New York,New York,Coca-Cola,FedEx,0.6,12750.0,7650.0,3825.0,50.0,2022,7,10,Sunday,July
Walmart,1185732,2022-07-10,Northeast,New York,New York,Diet Coke,DHL,0.55,10250.0,5638.0,1691.0,30.0,2022,7,10,Sunday,July
Walmart,1185732,2022-07-10,Northeast,New York,New York,Sprite,DHL,0.5,9500.0,4750.0,1663.0,35.0,2022,7,10,Sunday,July
Walmart,1185732,2022-07-10,Northeast,New York,New York,Fanta,DHL,0.5,9000.0,4500.0,1575.0,35.0,2022,7,10,Sunday,July
Walmart,1185732,2022-07-10,Northeast,New York,New York,Powerade,USPS,0.6,9250.0,5550.0,1665.0,30.0,2022,7,10,Sunday,July
Walmart,1185732,2022-07-10,Northeast,New York,New York,Dasani Water,UPS,0.65,11000.0,7150.0,1788.0,25.0,2022,7,10,Sunday,July
Walmart,1185732,2022-08-11,Northeast,New York,New York,Coca-Cola,FedEx,0.6,12500.0,7500.0,3750.0,50.0,2022,8,11,Thursday,August
Walmart,1185732,2022-08-11,Northeast,New York,New York,Diet Coke,USPS,0.55,10250.0,5638.0,1691.0,30.0,2022,8,11,Thursday,August
Walmart,1185732,2022-08-11,Northeast,New York,New York,Sprite,FedEx,0.5,9500.0,4750.0,1663.0,35.0,2022,8,11,Thursday,August
Walmart,1185732,2022-08-11,Northeast,New York,New York,Fanta,USPS,0.5,9250.0,4625.0,1619.0,35.0,2022,8,11,Thursday,August
Walmart,1185732,2022-08-11,Northeast,New York,New York,Powerade,FedEx,0.6,9000.0,5400.0,1620.0,30.0,2022,8,11,Thursday,August
Walmart,1185732,2022-08-11,Northeast,New York,New York,Dasani Water,USPS,0.65,10750.0,6988.0,1747.0,25.0,2022,8,11,Thursday,August
Walmart,1185732,2022-09-10,Northeast,New York,New York,Coca-Cola,DHL,0.6,12000.0,7200.0,3600.0,50.0,2022,9,10,Saturday,September
Walmart,1185732,2022-09-10,Northeast,New York,New York,Diet Coke,FedEx,0.55,10000.0,5500.0,1650.0,30.0,2022,9,10,Saturday,September
Walmart,1185732,2022-09-10,Northeast,New York,New York,Sprite,DHL,0.5,9250.0,4625.0,1619.0,35.0,2022,9,10,Saturday,September
Walmart,1185732,2022-09-10,Northeast,New York,New York,Fanta,USPS,0.5,9000.0,4500.0,1575.0,35.0,2022,9,10,Saturday,September
Walmart,1185732,2022-09-10,Northeast,New York,New York,Powerade,DHL,0.6,9000.0,5400.0,1620.0,30.0,2022,9,10,Saturday,September
Walmart,1185732,2022-09-10,Northeast,New York,New York,Dasani Water,UPS,0.65,10000.0,6500.0,1625.0,25.0,2022,9,10,Saturday,September
Walmart,1185732,2022-10-12,Northeast,New York,New York,Coca-Cola,FedEx,0.65,11750.0,7638.0,3819.0,50.0,2022,10,12,Wednesday,October
Walmart,1185732,2022-10-12,Northeast,New York,New York,Diet Coke,FedEx,0.55,10000.0,5500.0,1650.0,30.0,2022,10,12,Wednesday,October
Walmart,1185732,2022-10-12,Northeast,New York,New York,Sprite,FedEx,0.55,9000.0,4950.0,1733.0,35.0,2022,10,12,Wednesday,October
Walmart,1185732,2022-10-12,Northeast,New York,New York,Fanta,UPS,0.55,8750.0,4813.0,1684.0,35.0,2022,10,12,Wednesday,October
Walmart,1185732,2022-10-12,Northeast,New York,New York,Powerade,USPS,0.65,8750.0,5688.0,1706.0,30.0,2022,10,12,Wednesday,October
Walmart,1185732,2022-10-12,Northeast,New York,New York,Dasani Water,USPS,0.7,10000.0,7000.0,1750.0,25.0,2022,10,12,Wednesday,October
Walmart,1185732,2022-11-11,Northeast,New York,New York,Coca-Cola,USPS,0.65,11500.0,7475.0,3738.0,50.0,2022,11,11,Friday,November
Walmart,1185732,2022-11-11,Northeast,New York,New York,Diet Coke,DHL,0.55,9750.0,5363.0,1609.0,30.0,2022,11,11,Friday,November
Walmart,1185732,2022-11-11,Northeast,New York,New York,Sprite,USPS,0.55,9200.0,5060.0,1771.0,35.0,2022,11,11,Friday,November
Walmart,1185732,2022-11-11,Northeast,New York,New York,Fanta,FedEx,0.55,9000.0,4950.0,1733.0,35.0,2022,11,11,Friday,November
Walmart,1185732,2022-11-11,Northeast,New York,New York,Powerade,FedEx,0.65,8750.0,5688.0,1706.0,30.0,2022,11,11,Friday,November
Walmart,1185732,2022-11-11,Northeast,New York,New York,Dasani Water,DHL,0.7,9750.0,6825.0,1706.0,25.0,2022,11,11,Friday,November
Walmart,1185732,2022-12-10,Northeast,New York,New York,Coca-Cola,DHL,0.65,12000.0,7800.0,3900.0,50.0,2022,12,10,Saturday,December
Walmart,1185732,2022-12-10,Northeast,New York,New York,Diet Coke,FedEx,0.55,10000.0,5500.0,1650.0,30.0,2022,12,10,Saturday,December
Walmart,1185732,2022-12-10,Northeast,New York,New York,Sprite,FedEx,0.55,9500.0,5225.0,1829.0,35.0,2022,12,10,Saturday,December
Walmart,1185732,2022-12-10,Northeast,New York,New York,Fanta,UPS,0.55,9000.0,4950.0,1733.0,35.0,2022,12,10,Saturday,December
Walmart,1185732,2022-12-10,Northeast,New York,New York,Powerade,USPS,0.65,9000.0,5850.0,1755.0,30.0,2022,12,10,Saturday,December
Walmart,1185732,2022-12-10,Northeast,New York,New York,Dasani Water,UPS,0.7,10000.0,7000.0,1750.0,25.0,2022,12,10,Saturday,December
Costco,1197831,2022-01-02,South,Texas,Houston,Coca-Cola,UPS,0.25,9000.0,2250.0,788.0,35.0,2022,1,2,Sunday,January
Costco,1197831,2022-01-02,South,Texas,Houston,Diet Coke,USPS,0.35,9000.0,3150.0,1103.0,35.0,2022,1,2,Sunday,January
Costco,1197831,2022-01-02,South,Texas,Houston,Sprite,FedEx,0.35,7000.0,2450.0,858.0,35.0,2022,1,2,Sunday,January
Costco,1197831,2022-01-02,South,Texas,Houston,Fanta,USPS,0.35,7000.0,2450.0,1103.0,45.0,2022,1,2,Sunday,January
Costco,1197831,2022-01-02,South,Texas,Houston,Powerade,FedEx,0.4,5500.0,2200.0,660.0,30.0,2022,1,2,Sunday,January
Costco,1197831,2022-01-02,South,Texas,Houston,Dasani Water,DHL,0.35,7000.0,2450.0,1225.0,50.0,2022,1,2,Sunday,January
Costco,1197831,2022-02-01,South,Texas,Houston,Coca-Cola,UPS,0.25,8500.0,2125.0,744.0,35.0,2022,2,1,Tuesday,February
Costco,1197831,2022-02-01,South,Texas,Houston,Diet Coke,UPS,0.35,8500.0,2975.0,1041.0,35.0,2022,2,1,Tuesday,February
Costco,1197831,2022-02-01,South,Texas,Houston,Sprite,USPS,0.35,6750.0,2363.0,827.0,35.0,2022,2,1,Tuesday,February
Costco,1197831,2022-02-01,South,Texas,Houston,Fanta,USPS,0.35,6250.0,2188.0,984.0,45.0,2022,2,1,Tuesday,February
Costco,1197831,2022-02-01,South,Texas,Houston,Powerade,DHL,0.4,5000.0,2000.0,600.0,30.0,2022,2,1,Tuesday,February
Costco,1197831,2022-02-01,South,Texas,Houston,Dasani Water,DHL,0.35,7000.0,2450.0,1225.0,50.0,2022,2,1,Tuesday,February
Costco,1197831,2022-03-03,South,Texas,Houston,Coca-Cola,DHL,0.3,8750.0,2625.0,919.0,35.0,2022,3,3,Thursday,March
Costco,1197831,2022-03-03,South,Texas,Houston,Diet Coke,FedEx,0.4,8750.0,3500.0,1225.0,35.0,2022,3,3,Thursday,March
Costco,1197831,2022-03-03,South,Texas,Houston,Sprite,USPS,0.35,7000.0,2450.0,858.0,35.0,2022,3,3,Thursday,March
Costco,1197831,2022-03-03,South,Texas,Houston,Fanta,USPS,0.4,6000.0,2400.0,1080.0,45.0,2022,3,3,Thursday,March
Costco,1197831,2022-03-03,South,Texas,Houston,Powerade,DHL,0.45,5000.0,2250.0,675.0,30.0,2022,3,3,Thursday,March
Costco,1197831,2022-03-03,South,Texas,Houston,Dasani Water,UPS,0.4,6500.0,2600.0,1300.0,50.0,2022,3,3,Thursday,March
Costco,1197831,2022-04-02,South,Texas,Houston,Coca-Cola,FedEx,0.3,9000.0,2700.0,945.0,35.0,2022,4,2,Saturday,April
Costco,1197831,2022-04-02,South,Texas,Houston,Diet Coke,FedEx,0.4,9000.0,3600.0,1260.0,35.0,2022,4,2,Saturday,April
Costco,1197831,2022-04-02,South,Texas,Houston,Sprite,DHL,0.35,7250.0,2538.0,888.0,35.0,2022,4,2,Saturday,April
Costco,1197831,2022-04-02,South,Texas,Houston,Fanta,FedEx,0.4,6250.0,2500.0,1125.0,45.0,2022,4,2,Saturday,April
Costco,1197831,2022-04-02,South,Texas,Houston,Powerade,UPS,0.45,5250.0,2363.0,709.0,30.0,2022,4,2,Saturday,April
Costco,1197831,2022-04-02,South,Texas,Houston,Dasani Water,USPS,0.4,8000.0,3200.0,1600.0,50.0,2022,4,2,Saturday,April
Costco,1197831,2022-05-02,South,Texas,Houston,Coca-Cola,USPS,0.3,9250.0,2775.0,971.0,35.0,2022,5,2,Monday,May
Costco,1197831,2022-05-02,South,Texas,Houston,Diet Coke,UPS,0.4,9250.0,3700.0,1295.0,35.0,2022,5,2,Monday,May
Costco,1197831,2022-05-02,South,Texas,Houston,Sprite,DHL,0.35,7750.0,2713.0,949.0,35.0,2022,5,2,Monday,May
Costco,1197831,2022-05-02,South,Texas,Houston,Fanta,USPS,0.4,7000.0,2800.0,1260.0,45.0,2022,5,2,Monday,May
Costco,1197831,2022-05-02,South,Texas,Houston,Powerade,DHL,0.45,6000.0,2700.0,810.0,30.0,2022,5,2,Monday,May
Costco,1197831,2022-05-02,South,Texas,Houston,Dasani Water,UPS,0.4,9500.0,3800.0,1900.0,50.0,2022,5,2,Monday,May
Costco,1197831,2022-06-01,South,Texas,Houston,Coca-Cola,FedEx,0.4,9500.0,3800.0,1330.0,35.0,2022,6,1,Wednesday,June
Costco,1197831,2022-06-01,South,Texas,Houston,Diet Coke,DHL,0.45,9500.0,4275.0,1496.0,35.0,2022,6,1,Wednesday,June
Costco,1197831,2022-06-01,South,Texas,Houston,Sprite,UPS,0.4,8000.0,3200.0,1120.0,35.0,2022,6,1,Wednesday,June
Costco,1197831,2022-06-01,South,Texas,Houston,Fanta,USPS,0.4,7500.0,3000.0,1350.0,45.0,2022,6,1,Wednesday,June
Costco,1197831,2022-06-01,South,Texas,Houston,Powerade,UPS,0.45,6500.0,2925.0,878.0,30.0,2022,6,1,Wednesday,June
Costco,1197831,2022-06-01,South,Texas,Houston,Dasani Water,USPS,0.5,10000.0,5000.0,2500.0,50.0,2022,6,1,Wednesday,June
Costco,1197831,2022-07-03,South,Texas,Houston,Coca-Cola,FedEx,0.4,9500.0,3800.0,1330.0,35.0,2022,7,3,Sunday,July
Costco,1197831,2022-07-03,South,Texas,Houston,Diet Coke,DHL,0.45,9500.0,4275.0,1496.0,35.0,2022,7,3,Sunday,July
Costco,1197831,2022-07-03,South,Texas,Houston,Sprite,USPS,0.4,11000.0,4400.0,1540.0,35.0,2022,7,3,Sunday,July
Costco,1197831,2022-07-03,South,Texas,Houston,Fanta,DHL,0.4,7000.0,2800.0,1260.0,45.0,2022,7,3,Sunday,July
Costco,1197831,2022-07-03,South,Texas,Houston,Powerade,USPS,0.45,7000.0,3150.0,945.0,30.0,2022,7,3,Sunday,July
Costco,1197831,2022-07-03,South,Texas,Houston,Dasani Water,UPS,0.5,9750.0,4875.0,2438.0,50.0,2022,7,3,Sunday,July
Costco,1197831,2022-08-05,South,Texas,Houston,Coca-Cola,DHL,0.4,9250.0,3700.0,1295.0,35.0,2022,8,5,Friday,August
Costco,1197831,2022-08-05,South,Texas,Houston,Diet Coke,FedEx,0.45,9250.0,4163.0,1457.0,35.0,2022,8,5,Friday,August
Costco,1197831,2022-08-05,South,Texas,Houston,Sprite,DHL,0.4,11000.0,4400.0,1540.0,35.0,2022,8,5,Friday,August
Costco,1197831,2022-08-05,South,Texas,Houston,Fanta,UPS,0.4,6500.0,2600.0,1170.0,45.0,2022,8,5,Friday,August
Costco,1197831,2022-08-05,South,Texas,Houston,Powerade,UPS,0.45,6500.0,2925.0,878.0,30.0,2022,8,5,Friday,August
Costco,1197831,2022-08-05,South,Texas,Houston,Dasani Water,FedEx,0.5,9000.0,4500.0,2250.0,50.0,2022,8,5,Friday,August
Costco,1197831,2022-09-02,South,Texas,Houston,Coca-Cola,FedEx,0.45,8500.0,3825.0,1339.0,35.0,2022,9,2,Friday,September
Costco,1197831,2022-09-02,South,Texas,Houston,Diet Coke,USPS,0.45,8500.0,3825.0,1339.0,35.0,2022,9,2,Friday,September
Costco,1197831,2022-09-02,South,Texas,Houston,Sprite,DHL,0.5,9000.0,4500.0,1575.0,35.0,2022,9,2,Friday,September
Costco,1197831,2022-09-02,South,Texas,Houston,Fanta,DHL,0.5,6250.0,3125.0,1406.0,45.0,2022,9,2,Friday,September
Costco,1197831,2022-09-02,South,Texas,Houston,Powerade,DHL,0.45,6250.0,2813.0,844.0,30.0,2022,9,2,Friday,September
Costco,1197831,2022-09-02,South,Texas,Houston,Dasani Water,USPS,0.55,8500.0,4675.0,2338.0,50.0,2022,9,2,Friday,September
Costco,1197831,2022-10-01,South,Texas,Houston,Coca-Cola,USPS,0.45,8000.0,3600.0,1260.0,35.0,2022,10,1,Saturday,October
Costco,1197831,2022-10-01,South,Texas,Houston,Diet Coke,USPS,0.45,8000.0,3600.0,1260.0,35.0,2022,10,1,Saturday,October
Costco,1197831,2022-10-01,South,Texas,Houston,Sprite,USPS,0.5,7500.0,3750.0,1313.0,35.0,2022,10,1,Saturday,October
Costco,1197831,2022-10-01,South,Texas,Houston,Fanta,FedEx,0.5,6000.0,3000.0,1350.0,45.0,2022,10,1,Saturday,October
Costco,1197831,2022-10-01,South,Texas,Houston,Powerade,USPS,0.45,5750.0,2588.0,776.0,30.0,2022,10,1,Saturday,October
Costco,1197831,2022-10-01,South,Texas,Houston,Dasani Water,FedEx,0.55,7500.0,4125.0,2063.0,50.0,2022,10,1,Saturday,October
Costco,1197831,2022-11-02,South,Texas,Houston,Coca-Cola,FedEx,0.45,9000.0,4050.0,1418.0,35.0,2022,11,2,Wednesday,November
Costco,1197831,2022-11-02,South,Texas,Houston,Diet Coke,FedEx,0.45,9000.0,4050.0,1418.0,35.0,2022,11,2,Wednesday,November
Costco,1197831,2022-11-02,South,Texas,Houston,Sprite,UPS,0.5,8250.0,4125.0,1444.0,35.0,2022,11,2,Wednesday,November
Costco,1197831,2022-11-02,South,Texas,Houston,Fanta,UPS,0.5,6750.0,3375.0,1519.0,45.0,2022,11,2,Wednesday,November
Costco,1197831,2022-11-02,South,Texas,Houston,Powerade,DHL,0.45,6500.0,2925.0,878.0,30.0,2022,11,2,Wednesday,November
Costco,1197831,2022-11-02,South,Texas,Houston,Dasani Water,USPS,0.55,8500.0,4675.0,2338.0,50.0,2022,11,2,Wednesday,November
Costco,1197831,2022-12-01,South,Texas,Houston,Coca-Cola,FedEx,0.45,9500.0,4275.0,1496.0,35.0,2022,12,1,Thursday,December
Costco,1197831,2022-12-01,South,Texas,Houston,Diet Coke,DHL,0.45,9500.0,4275.0,1496.0,35.0,2022,12,1,Thursday,December
Costco,1197831,2022-12-01,South,Texas,Houston,Sprite,FedEx,0.5,8500.0,4250.0,1488.0,35.0,2022,12,1,Thursday,December
Costco,1197831,2022-12-01,South,Texas,Houston,Fanta,USPS,0.5,7000.0,3500.0,1575.0,45.0,2022,12,1,Thursday,December
Costco,1197831,2022-12-01,South,Texas,Houston,Powerade,DHL,0.45,6500.0,2925.0,878.0,30.0,2022,12,1,Thursday,December
Costco,1197831,2022-12-01,South,Texas,Houston,Dasani Water,FedEx,0.55,9000.0,4950.0,2475.0,50.0,2022,12,1,Thursday,December
CVS,1128299,2022-01-20,West,California,San Francisco,Coca-Cola,DHL,0.4,7750.0,3100.0,1085.0,35.0,2022,1,20,Thursday,January
CVS,1128299,2022-01-20,West,California,San Francisco,Diet Coke,UPS,0.5,7750.0,3875.0,775.0,20.0,2022,1,20,Thursday,January
CVS,1128299,2022-01-20,West,California,San Francisco,Sprite,USPS,0.5,7750.0,3875.0,1356.0,35.0,2022,1,20,Thursday,January
CVS,1128299,2022-01-20,West,California,San Francisco,Fanta,UPS,0.5,6250.0,3125.0,938.0,30.0,2022,1,20,Thursday,January
CVS,1128299,2022-01-20,West,California,San Francisco,Powerade,FedEx,0.55,5750.0,3163.0,1581.0,50.0,2022,1,20,Thursday,January
CVS,1128299,2022-01-20,West,California,San Francisco,Dasani Water,DHL,0.5,7750.0,3875.0,581.0,15.0,2022,1,20,Thursday,January
CVS,1128299,2022-02-20,West,California,San Francisco,Coca-Cola,USPS,0.4,8250.0,3300.0,1155.0,35.0,2022,2,20,Sunday,February
CVS,1128299,2022-02-20,West,California,San Francisco,Diet Coke,FedEx,0.5,7250.0,3625.0,725.0,20.0,2022,2,20,Sunday,February
CVS,1128299,2022-02-20,West,California,San Francisco,Sprite,USPS,0.5,7250.0,3625.0,1269.0,35.0,2022,2,20,Sunday,February
CVS,1128299,2022-02-20,West,California,San Francisco,Fanta,FedEx,0.5,5750.0,2875.0,863.0,30.0,2022,2,20,Sunday,February
CVS,1128299,2022-02-20,West,California,San Francisco,Powerade,UPS,0.55,5000.0,2750.0,1375.0,50.0,2022,2,20,Sunday,February
CVS,1128299,2022-02-20,West,California,San Francisco,Dasani Water,DHL,0.5,7000.0,3500.0,525.0,15.0,2022,2,20,Sunday,February
CVS,1128299,2022-03-19,West,California,San Francisco,Coca-Cola,FedEx,0.5,8500.0,4250.0,1488.0,35.0,2022,3,19,Saturday,March
CVS,1128299,2022-03-19,West,California,San Francisco,Diet Coke,DHL,0.6,7000.0,4200.0,840.0,20.0,2022,3,19,Saturday,March
CVS,1128299,2022-03-19,West,California,San Francisco,Sprite,UPS,0.6,7000.0,4200.0,1470.0,35.0,2022,3,19,Saturday,March
CVS,1128299,2022-03-19,West,California,San Francisco,Fanta,UPS,0.6,6000.0,3600.0,1080.0,30.0,2022,3,19,Saturday,March
CVS,1128299,2022-03-19,West,California,San Francisco,Powerade,DHL,0.65,5000.0,3250.0,1625.0,50.0,2022,3,19,Saturday,March
CVS,1128299,2022-03-19,West,California,San Francisco,Dasani Water,FedEx,0.6,7000.0,4200.0,630.0,15.0,2022,3,19,Saturday,March
CVS,1128299,2022-04-20,West,California,San Francisco,Coca-Cola,FedEx,0.6,8750.0,5250.0,1838.0,35.0,2022,4,20,Wednesday,April
CVS,1128299,2022-04-20,West,California,San Francisco,Diet Coke,UPS,0.65,6750.0,4388.0,878.0,20.0,2022,4,20,Wednesday,April
CVS,1128299,2022-04-20,West,California,San Francisco,Sprite,DHL,0.65,7250.0,4713.0,1649.0,35.0,2022,4,20,Wednesday,April
CVS,1128299,2022-04-20,West,California,San Francisco,Fanta,USPS,0.6,6250.0,3750.0,1125.0,30.0,2022,4,20,Wednesday,April
CVS,1128299,2022-04-20,West,California,San Francisco,Powerade,FedEx,0.65,5250.0,3413.0,1706.0,50.0,2022,4,20,Wednesday,April
CVS,1128299,2022-04-20,West,California,San Francisco,Dasani Water,USPS,0.8,7000.0,5600.0,840.0,15.0,2022,4,20,Wednesday,April
CVS,1128299,2022-05-21,West,California,San Francisco,Coca-Cola,DHL,0.6,9000.0,5400.0,2160.0,40.0,2022,5,21,Saturday,May
CVS,1128299,2022-05-21,West,California,San Francisco,Diet Coke,UPS,0.65,7500.0,4875.0,1219.0,25.0,2022,5,21,Saturday,May
CVS,1128299,2022-05-21,West,California,San Francisco,Sprite,FedEx,0.65,7500.0,4875.0,1950.0,40.0,2022,5,21,Saturday,May
CVS,1128299,2022-05-21,West,California,San Francisco,Fanta,USPS,0.6,6500.0,3900.0,1365.0,35.0,2022,5,21,Saturday,May
CVS,1128299,2022-05-21,West,California,San Francisco,Powerade,USPS,0.65,5500.0,3575.0,1966.0,55.0,2022,5,21,Saturday,May
CVS,1128299,2022-05-21,West,California,San Francisco,Dasani Water,DHL,0.8,7250.0,5800.0,1160.0,20.0,2022,5,21,Saturday,May
CVS,1128299,2022-06-20,West,California,San Francisco,Coca-Cola,UPS,0.6,9750.0,5850.0,2340.0,40.0,2022,6,20,Monday,June
CVS,1128299,2022-06-20,West,California,San Francisco,Diet Coke,FedEx,0.65,8250.0,5363.0,1341.0,25.0,2022,6,20,Monday,June
CVS,1128299,2022-06-20,West,California,San Francisco,Sprite,DHL,0.65,8250.0,5363.0,2145.0,40.0,2022,6,20,Monday,June
CVS,1128299,2022-06-20,West,California,San Francisco,Fanta,UPS,0.6,7000.0,4200.0,1470.0,35.0,2022,6,20,Monday,June
CVS,1128299,2022-06-20,West,California,San Francisco,Powerade,FedEx,0.65,5750.0,3738.0,2056.0,55.0,2022,6,20,Monday,June
CVS,1128299,2022-06-20,West,California,San Francisco,Dasani Water,DHL,0.8,8750.0,7000.0,1400.0,20.0,2022,6,20,Monday,June
CVS,1128299,2022-07-19,West,California,San Francisco,Coca-Cola,USPS,0.6,10250.0,6150.0,2153.0,35.0,2022,7,19,Tuesday,July
CVS,1128299,2022-07-19,West,California,San Francisco,Diet Coke,UPS,0.65,8750.0,5688.0,1138.0,20.0,2022,7,19,Tuesday,July
CVS,1128299,2022-07-19,West,California,San Francisco,Sprite,UPS,0.65,8250.0,5363.0,1877.0,35.0,2022,7,19,Tuesday,July
CVS,1128299,2022-07-19,West,California,San Francisco,Fanta,UPS,0.6,7250.0,4350.0,1305.0,30.0,2022,7,19,Tuesday,July
CVS,1128299,2022-07-19,West,California,San Francisco,Powerade,UPS,0.65,7750.0,5038.0,2519.0,50.0,2022,7,19,Tuesday,July
CVS,1128299,2022-07-19,West,California,San Francisco,Dasani Water,USPS,0.8,7750.0,6200.0,930.0,15.0,2022,7,19,Tuesday,July
CVS,1128299,2022-08-20,West,California,San Francisco,Coca-Cola,USPS,0.65,9750.0,6338.0,2218.0,35.0,2022,8,20,Saturday,August
CVS,1128299,2022-08-20,West,California,San Francisco,Diet Coke,UPS,0.7,9250.0,6475.0,1295.0,20.0,2022,8,20,Saturday,August
CVS,1128299,2022-08-20,West,California,San Francisco,Sprite,FedEx,0.65,8000.0,5200.0,1820.0,35.0,2022,8,20,Saturday,August
